id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
281341,0.0,,,25.0,9150.0,1280.0,359.0,2424.0,150.759994506836,291.0,119.0,649.0,2,31,474,420
281342,0.0,,,18.0,6570.0,897.0,141.0,1682.0,115.379997253418,182.0,18.0,393.0,3,31,1930,1143
281343,0.0,,,17.0,6205.0,1039.0,19.0,1213.0,68.6800003051758,199.0,12.0,261.0,3,31,120,695
281344,0.0,,,25.0,9125.0,1043.0,363.0,1881.0,83.8199996948242,172.0,74.0,401.0,3,31,2897,285
281345,0.0,,,25.0,9150.0,1625.0,42.0,2505.0,137.809997558594,185.0,16.0,354.0,2,31,2999,1657
281346,0.0,,,16.0,5840.0,1071.0,68.0,1386.0,48.8499984741211,139.0,13.0,192.0,3,31,2219,1196
281347,0.0,,,25.0,9125.0,846.0,7.0,3088.0,66.4599990844727,103.0,2.0,141.0,3,31,2094,1196
281348,0.0,,,25.0,9125.0,2547.0,241.0,3359.0,120.400001525879,258.0,51.0,434.0,3,31,409,556
281349,0.0,,,21.0,7665.0,1677.0,147.0,2604.0,103.0,250.0,10.0,475.0,2,31,2172,1542
281350,0.0,,,18.0,6570.0,855.0,62.0,1206.0,79.4700012207031,133.0,16.0,220.0,3,31,2789,766
281351,0.0,,,22.0,8030.0,656.0,33.0,832.0,72.5299987792969,94.0,12.0,147.0,2,31,1325,275
281352,0.0,,,24.0,8760.0,2571.0,288.0,3500.0,140.259994506836,383.0,69.0,635.0,3,31,911,1281
281353,0.0,,,16.0,5840.0,2163.0,27.0,2412.0,140.699996948242,259.0,7.0,336.0,3,31,2077,1606
281354,0.0,,,24.0,8760.0,896.0,284.0,1571.0,112.849998474121,137.0,79.0,327.0,3,31,644,1336
281355,0.0,,,18.0,6588.0,1503.0,223.0,2277.0,97.6800003051758,271.0,65.0,504.0,2,31,2041,786
281356,0.0,,,20.0,7300.0,926.0,107.0,1409.0,104.620002746582,117.0,11.0,180.0,2,31,1106,1182
281357,0.0,,,19.0,6954.0,1597.0,149.0,2525.0,213.570007324219,288.0,31.0,557.0,3,31,2584,290
281358,0.0,,,25.0,9125.0,636.0,39.0,910.0,72.1900024414062,142.0,12.0,250.0,3,31,1085,1407
281359,0.0,,,21.0,7686.0,1068.0,172.0,1952.0,180.389999389648,222.0,43.0,467.0,2,31,269,1647
281360,0.0,,,25.0,9125.0,2397.0,539.0,3864.0,221.210006713867,391.0,24.0,825.0,3,31,45,165
281361,0.0,,,25.0,9125.0,1830.0,569.0,3785.0,168.039993286133,270.0,164.0,745.0,2,31,1566,421
281362,0.0,,,25.0,9150.0,3004.0,161.0,4462.0,184.070007324219,479.0,53.0,850.0,3,31,1268,1188
281363,0.0,,,25.0,9125.0,2452.0,339.0,3750.0,217.509994506836,440.0,41.0,761.0,4,31,1736,1269
281364,0.0,,,25.0,9150.0,1936.0,270.0,3556.0,260.100006103516,386.0,85.0,827.0,3,31,192,558
281365,0.0,,,23.0,8418.0,1681.0,208.0,2504.0,114.800003051758,307.0,53.0,556.0,3,31,354,399
282000,0.0,,,96.0,35040.0,10457.0,,15798.0,108.190002441406,378.0,,546.0,2,31,1573,840
282001,0.0,,,52.0,18980.0,13616.0,,16758.0,163.630004882812,534.0,,652.0,2,31,2059,461
283025,0.0,,,87.0,31755.0,3796.0,4697.0,20531.0,142.800003051758,231.0,121.0,733.0,3,31,1573,840
283300,0.0,,,61.0,22326.0,,331.0,846.0,620.030029296875,,116.0,321.0,3,31,2059,461
